min_item_size,max_item_size,min_num_items,max_num_items,bin_size,agent_heuristic,seed,n_episodes,batch_size,lr,hid_dim,device,inference_only,model_path,agent_reward,nf_reward,ff_reward,ffd_reward
1,6,24,24,8,NF,2,15000,128,0.0001,64,cpu,False,,0.9008022093377493,0.7746634408213583,0.8926117689469973,0.9376940917600095
1,6,24,24,8,NF,3,10000,128,0.001,64,cpu,False,,0.9305392808274243,0.7748985270146198,0.8923101392938632,0.9382388443541214
3,8,40,40,10,NF,3,10000,128,0.001,64,cpu,False,,0.891595590919014,0.7390310240359067,0.8592383706479803,0.8943207593090677
4,14,50,50,15,NF,3,10000,128,0.001,64,cpu,False,,0.8941919995488338,0.7463324303931217,0.8660920762099477,0.8978362043625877
3,8,40,40,10,FF,3,10000,128,0.001,64,cpu,False,,0.8943631895031907,0.7390310240359067,0.8592383706479803,0.8943207593090677
1,6,24,24,8,FF,3,10000,128,0.001,64,cuda:0,False,,0.93801004,0.7748985270146198,0.8923101392938632,0.9382388443541214
4,14,50,50,15,FF,3,10000,128,0.001,64,cuda:0,False,,0.89739424,0.7463324303931217,0.8660920762099477,0.8978362043625877
4,14,3,50,15,FF,3,15000,128,0.001,64,cuda:0,False,,0.8669302,0.742832404797525,0.8389626660744945,0.8670481464259148
4,14,3,50,15,NF,3,15000,128,0.001,64,cpu,False,,0.841185,0.742832404797525,0.8389626660744945,0.8670481464259148
1,6,24,24,8,FF,3,10,128,0.001,64,cpu,False,./experiments/policy_dnn_problem1_FF.pkl,0.90475464,0.7748985270146198,0.8923101392938632,0.9382388443541214
100,800,5,10,1000,FF,3,4000,128,0.001,64,cpu,False,./experiments/models/policy_dnn_100_800_5_10_1000.pkl,,0.8031141,0.711063638452381,0.769622078531746,0.8029427842460317
100,800,5,10,1000,NF,3,4000,128,0.001,64,cpu,False,./experiments/models/policy_dnn_100_800_5_10_1000_NF.pkl,,0.78658366,0.711063638452381,0.769622078531746,0.8029427842460317
100,800,5,10,1000,FF,3,1000,128,0.001,64,cpu,False,./experiments/models/policy_dnn_100_800_5_10_1000_FF.pkl,,0.8032562,0.711063638452381,0.769622078531746,0.8029427842460317
