         174136824 function calls (167911824 primitive calls) in 2039.270 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15000    1.948    0.000 2039.261    0.136 actor_critic.py:35(reinforce_step)
6270000/45000   18.314    0.000  955.836    0.021 module.py:1124(_call_impl)
    30000    0.336    0.000  919.159    0.031 _tensor.py:340(backward)
    30000    0.287    0.000  918.813    0.031 __init__.py:85(backward)
    30000  917.702    0.031  917.702    0.031 {method 'run_backward' of 'torch._C._EngineBase' objects}
    15000   97.704    0.007  902.552    0.060 dnns.py:113(forward)
   765000  100.413    0.000  381.631    0.000 dnns.py:19(forward)
   750000  186.112    0.000  186.112    0.000 {built-in method torch.multinomial}
   780000    9.115    0.000  168.943    0.000 rnn.py:721(forward)
   780000  146.742    0.000  146.742    0.000 {built-in method torch.lstm}
  4650000    7.693    0.000  146.427    0.000 linear.py:113(forward)
  4650000  135.711    0.000  135.711    0.000 {built-in method torch._C._nn.linear}
    15000    3.109    0.000   77.975    0.005 rl_env.py:41(compute_reward)
  1920000   43.852    0.000   74.139    0.000 rl_env.py:5(avg_occupancy)
    30000    0.283    0.000   61.722    0.002 lr_scheduler.py:60(wrapper)
    30000    0.537    0.000   61.438    0.002 optimizer.py:108(wrapper)
    30000    0.262    0.000   54.441    0.002 grad_mode.py:24(decorate_context)
    30000    2.043    0.000   53.478    0.002 adam.py:105(step)
    15000    0.737    0.000   51.313    0.003 dnns.py:73(forward)
    30000    0.190    0.000   49.430    0.002 adam.py:176(adam)
    30000   15.855    0.001   49.043    0.002 adam.py:229(_single_tensor_adam)
  1545000    1.871    0.000   30.941    0.000 _tensor.py:26(wrapped)
  1545000    1.407    0.000   28.456    0.000 _tensor.py:637(__rsub__)
  1545000   27.049    0.000   27.049    0.000 {built-in method torch.rsub}
    30000    2.629    0.000   24.770    0.001 rnn.py:264(pad_packed_sequence)
  1920000    1.621    0.000   23.862    0.000 <__array_function__ internals>:177(mean)
  1500000    2.056    0.000   22.739    0.000 functional.py:1804(softmax)
  1920000    1.258    0.000   21.893    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  4575000   21.628    0.000   21.628    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
    30000   21.586    0.001   21.586    0.001 {built-in method torch._pad_packed_sequence}
    30000    0.504    0.000   21.400    0.001 rnn.py:207(pack_padded_sequence)
  1530000   21.201    0.000   21.201    0.000 {built-in method torch.tanh}
  1920000    2.548    0.000   20.635    0.000 fromnumeric.py:3313(mean)
  1500000   20.273    0.000   20.273    0.000 {method 'softmax' of 'torch._C._TensorBase' objects}
  1935000    6.680    0.000   19.175    0.000 _methods.py:163(_mean)
  4545000   16.144    0.000   16.144    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
   825000   15.539    0.000   15.539    0.000 {method 'to' of 'torch._C._TensorBase' objects}
    30000   14.080    0.000   14.080    0.000 {built-in method torch._pack_padded_sequence}
   750000   12.510    0.000   12.510    0.000 {built-in method torch.gather}
   765000   11.451    0.000   11.451    0.000 {built-in method torch.bmm}
   780000   11.276    0.000   11.276    0.000 {method 'scatter_' of 'torch._C._TensorBase' objects}
 15705000   10.530    0.000   10.530    0.000 module.py:1194(__getattr__)
   750000    0.681    0.000   10.109    0.000 functional.py:1902(log_softmax)
  1140000    9.786    0.000    9.786    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
   750000    9.296    0.000    9.296    0.000 {method 'log_softmax' of 'torch._C._TensorBase' objects}
  1170000    9.185    0.000    9.185    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
    30000    1.640    0.000    7.803    0.000 optimizer.py:216(zero_grad)
   780000    2.328    0.000    7.352    0.000 rnn.py:687(check_forward_args)
   600000    6.783    0.000    6.783    0.000 {method 'item' of 'torch._C._TensorBase' objects}
   120000    5.974    0.000    5.974    0.000 {built-in method torch.zeros}
  1935000    5.642    0.000    5.642    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  6300000    5.586    0.000    5.586    0.000 {built-in method torch._C._get_tracing_state}
    60000    0.236    0.000    5.446    0.000 profiler.py:436(__init__)
   570000    5.063    0.000    5.063    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
  1935000    4.290    0.000    4.777    0.000 _methods.py:66(_count_reduce_items)
   825000    4.689    0.000    4.689    0.000 {built-in method torch.swapaxes}
   570000    4.537    0.000    4.537    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
   570000    4.158    0.000    4.158    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
    30000    0.374    0.000    3.905    0.000 batchnorm.py:134(forward)
  1935000    3.585    0.000    3.585    0.000 {built-in method numpy.array}
 38716881    3.497    0.000    3.497    0.000 {method 'append' of 'list' objects}
   569962    3.340    0.000    3.340    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
    30000    0.260    0.000    2.726    0.000 functional.py:2407(batch_norm)
   120000    2.427    0.000    2.427    0.000 {method 'index_select' of 'torch._C._TensorBase' objects}
    30000    0.112    0.000    2.415    0.000 rnn.py:187(_packed_sequence_init)
    90000    0.668    0.000    2.268    0.000 rnn.py:156(_packed_sequence_init_args)
    30000    2.198    0.000    2.198    0.000 {built-in method torch.batch_norm}
  3989886    1.694    0.000    2.094    0.000 _tensor.py:1071(grad)
  4680000    2.040    0.000    2.040    0.000 {method 'size' of 'torch._C._TensorBase' objects}
   120000    0.203    0.000    1.683    0.000 _ops.py:138(__call__)
  1560000    0.880    0.000    1.666    0.000 rnn.py:223(check_hidden_size)
  1530000    0.461    0.000    1.664    0.000 rnn.py:699(permute_hidden)
    60000    0.407    0.000    1.654    0.000 profiler.py:445(__enter__)
    30000    0.226    0.000    1.600    0.000 rnn.py:198(invert_permutation)
  4155000    1.447    0.000    1.447    0.000 {built-in method builtins.isinstance}
    30000    1.412    0.000    1.412    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
    15000    0.047    0.000    1.307    0.000 loss.py:529(forward)
   780000    1.119    0.000    1.300    0.000 rnn.py:209(get_expected_hidden_size)
    15000    0.145    0.000    1.260    0.000 functional.py:3252(mse_loss)
